      0: system.ruby.l1_cntrl0.L1Dcache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l1_cntrl0.L1Icache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l2_cntrl0.L2cache:  HelloWorld! From a SimObject (startup).
 510000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 510000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 520000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 520000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 520000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 530000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 530000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 530000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 540000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 540000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 540000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 550000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 550000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 550000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 560000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 560000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 560000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 570000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 8.
 570000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 570000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 5.
 580000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 580000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 580000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
 590000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
 590000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 590000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 600000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 600000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 600000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
 610000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
 610000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 610000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 620000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 6.
 620000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 3.
 620000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
 630000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 9.
